********LEGEND FOR FIELD NAMES LOCATED AT BOTTOM OF FILE************
Station_Code,isSWMP,m/d/y hh:mm,See Legend,See Legend,Frequency,See Legend,C,Flag Code,%,Flag Code,mb,Flag Code,m/s,Flag Code,m/s,Flag Code,time, degrees,Flag Code,sd,Flag Code,millimoles/m2, Flag Code,mm,Flag Code
"Station_Code","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp",
tjrtlmet,P,12/01/2022 00:00,0,1,15,,12.3,<0> ,72,<0> ,1016,<0> ,0.6,<0> ,1.3,<0> ,23:46,91,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 00:15,0,1,15,,12.5,<0> ,71,<0> ,1016,<0> ,0.9,<0> ,1.9,<0> ,00:07,77,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 00:30,0,1,15,,12.6,<0> ,70,<0> ,1016,<0> ,0.9,<0> ,1.8,<0> ,00:22,90,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 00:45,0,1,15,,12.6,<0> ,70,<0> ,1016,<0> ,0.8,<0> ,1.6,<0> ,00:35,90,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 01:00,0,1,15,,12.6,<0> ,70,<0> ,1016,<0> ,1.1,<0> ,2.2,<0> ,00:54,95,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 01:15,0,1,15,,12.6,<0> ,70,<0> ,1015,<0> ,1.2,<0> ,2.4,<0> ,01:09,98,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 01:30,0,1,15,,12.7,<0> ,70,<0> ,1015,<0> ,1.2,<0> ,2.7,<0> ,01:27,97,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 01:45,0,1,15,,12.7,<0> ,69,<0> ,1015,<0> ,1.2,<0> ,2.0,<0> ,01:41,101,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 02:00,0,1,15,,12.7,<0> ,69,<0> ,1015,<0> ,1.2,<0> ,2.0,<0> ,01:46,102,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 02:15,0,1,15,,12.7,<0> ,69,<0> ,1015,<0> ,1.3,<0> ,2.9,<0> ,02:09,93,<0> ,17,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 02:30,0,1,15,,12.8,<0> ,69,<0> ,1015,<0> ,1.2,<0> ,2.3,<0> ,02:16,107,<0> ,12,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 02:45,0,1,15,,12.7,<0> ,70,<0> ,1015,<0> ,1.3,<0> ,2.6,<0> ,02:33,103,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 03:00,0,1,15,,12.6,<0> ,70,<0> ,1015,<0> ,1.0,<0> ,1.9,<0> ,02:47,98,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 03:15,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,0.9,<0> ,1.5,<0> ,03:00,84,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 03:30,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,0.7,<0> ,1.5,<0> ,03:17,99,<0> ,17,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 03:45,0,1,15,,12.6,<0> ,70,<0> ,1016,<0> ,1.3,<0> ,2.3,<0> ,03:35,95,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 04:00,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.2,<0> ,2.9,<0> ,03:50,99,<0> ,20,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 04:15,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.3,<0> ,2.3,<0> ,04:09,98,<0> ,13,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 04:30,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.2,<0> ,2.4,<0> ,04:16,95,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 04:45,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.3,<0> ,2.5,<0> ,04:31,102,<0> ,15,<0> ,0.0,<0> ,0.0,<0> ,
tjrtlmet,P,12/01/2022 05:00,0,1,15,,12.7,<0> ,69,<0> ,1016,<0> ,1.5,<0> ,3.2,<0> ,04:52,105,<0> ,14,<0> ,0.0,<0> ,0.0,<0> ,
